Time,Category,Price,ID,Fee,StrikePrice,FutPrice,Date,ProductCode,SettlementPrice,SettlementDate,DateTime,SameStrikePrice,Delta,Vega,NewPrice,NewDate,NumMatchingTrades,Intrinsic_Value,PnL_Early_Close,PnL_Settlement
2024-02-01 04:05:00,C,7.0,TX118600B4,11.0,18600.0,17917.0,2024-02-01,202402W1,18632,2024-02-15,40500,5.783333333333334,0.040502464891958107,3.0923173363730583,6.599999999999999,2024-02-01,24,32.0,18.214166666666607,1269.5441666666666
2024-02-01 04:10:00,C,14.5,TX118450B4,12.0,18450.0,17910.0,2024-02-01,202402W1,18632,2024-02-15,41000,15.072916666666666,0.08975587866763364,5.761680240105291,16.115702479338843,2024-02-01,121,182.0,28.579859676308562,8304.600520833334
2024-02-01 04:10:00,C,14.5,TX118450B4,12.0,18450.0,17913.0,2024-02-01,202402W1,18632,2024-02-15,41000,15.072916666666666,0.08975587866763364,5.761680240105291,16.115702479338843,2024-02-01,121,182.0,28.579859676308562,8304.600520833334
2024-02-23 04:52:00,P,6.4,TX418500N4,11.0,18500.0,18994.0,2024-02-23,202402W4,18993,2024-02-29,45200,6.140000000000001,-0.04653822109486222,2.442854765269326,5.8825892857142845,2024-02-23,224,0.0,-35.47166517857151,-348.307
2024-03-09 04:46:00,P,3.3,TX218850O4,11.0,18850.0,19744.0,2024-03-09,202403W2,19931,2024-03-13,44600,3.3,-0.0197430400912855,1.034409806593558,3.8199999999999994,2024-03-11,10,0.0,3.64399999999997,-207.165
2024-03-13 04:45:00,P,0.4,TX219300O4,11.0,19300.0,19993.0,2024-03-13,202403W2,19931,2024-03-13,44500,0.4000000000000001,-0.004675619694608,0.0856593992863195,0.4305555555555556,2024-03-13,36,0.0,-20.51375,-62.019999999999996
2024-04-17 04:05:00,C,0.7,TXO20450D4,11.0,20450.0,19927.0,2024-04-17,202404,20238,2024-04-17,40500,0.7,0.0094917630393445,0.1658579814697831,0.6666666666666666,2024-04-17,24,0.0,-23.735000000000003,-77.035
2024-04-17 04:11:00,C,0.7,TXO20450D4,11.0,20450.0,19926.0,2024-04-17,202404,20238,2024-04-17,41100,0.7,0.009519796401198651,0.16587611171211275,0.6666666666666666,2024-04-17,24,0.0,-23.735000000000003,-77.035
2024-04-17 04:36:00,C,0.7,TXO20450D4,11.0,20450.0,19930.0,2024-04-17,202404,20238,2024-04-17,43600,0.72,0.009764971212187942,0.16532055941492568,0.6666666666666666,2024-04-17,24,0.0,-24.736000000000004,-78.036
2024-04-17 04:39:00,C,0.7,TXO20450D4,11.0,20450.0,19929.0,2024-04-17,202404,20238,2024-04-17,43900,0.7,0.009569561043948729,0.16218868919064913,0.6666666666666666,2024-04-17,24,0.0,-23.735000000000003,-77.035
